AREA,STATE,COUNTY,COUNTY_SUB,PLACE,CONS_CITY,AREA_NAME
0,0,0,0,0,0,United States
1000,1,0,0,0,0,Alabama
1001,1,1,0,0,0,Autauga County
1003,1,3,0,0,0,Baldwin County
1005,1,5,0,0,0,Barbour County
1007,1,7,0,0,0,Bibb County
1009,1,9,0,0,0,Blount County
1011,1,11,0,0,0,Bullock County
1013,1,13,0,0,0,Butler County
1015,1,15,0,0,0,Calhoun County
1017,1,17,0,0,0,Chambers County
1019,1,19,0,0,0,Cherokee County
1021,1,21,0,0,0,Chilton County
1023,1,23,0,0,0,Choctaw County
1025,1,25,0,0,0,Clarke County
1027,1,27,0,0,0,Clay County
1029,1,29,0,0,0,Cleburne County
1031,1,31,0,0,0,Coffee County
1033,1,33,0,0,0,Colbert County
1035,1,35,0,0,0,Conecuh County
1037,1,37,0,0,0,Coosa County
1039,1,39,0,0,0,Covington County
1041,1,41,0,0,0,Crenshaw County
1043,1,43,0,0,0,Cullman County
1045,1,45,0,0,0,Dale County
1047,1,47,0,0,0,Dallas County
1049,1,49,0,0,0,DeKalb County
1051,1,51,0,0,0,Elmore County
1053,1,53,0,0,0,Escambia County
1055,1,55,0,0,0,Etowah County
1057,1,57,0,0,0,Fayette County
1059,1,59,0,0,0,Franklin County
1061,1,61,0,0,0,Geneva County
1063,1,63,0,0,0,Greene County
1065,1,65,0,0,0,Hale County
1067,1,67,0,0,0,Henry County
1069,1,69,0,0,0,Houston County
1071,1,71,0,0,0,Jackson County
1073,1,73,0,0,0,Jefferson County
1075,1,75,0,0,0,Lamar County
1077,1,77,0,0,0,Lauderdale County
1079,1,79,0,0,0,Lawrence County
1081,1,81,0,0,0,Lee County
1083,1,83,0,0,0,Limestone County
1085,1,85,0,0,0,Lowndes County
1087,1,87,0,0,0,Macon County
1089,1,89,0,0,0,Madison County
1091,1,91,0,0,0,Marengo County
1093,1,93,0,0,0,Marion County
1095,1,95,0,0,0,Marshall County
1097,1,97,0,0,0,Mobile County
1099,1,99,0,0,0,Monroe County
1101,1,101,0,0,0,Montgomery County
1103,1,103,0,0,0,Morgan County
1105,1,105,0,0,0,Perry County
1107,1,107,0,0,0,Pickens County
1109,1,109,0,0,0,Pike County
1111,1,111,0,0,0,Randolph County
1113,1,113,0,0,0,Russell County
1115,1,115,0,0,0,St. Clair County
1117,1,117,0,0,0,Shelby County
1119,1,119,0,0,0,Sumter County
1121,1,121,0,0,0,Talladega County
1123,1,123,0,0,0,Tallapoosa County
1125,1,125,0,0,0,Tuscaloosa County
1127,1,127,0,0,0,Walker County
1129,1,129,0,0,0,Washington County
1131,1,131,0,0,0,Wilcox County
1133,1,133,0,0,0,Winston County
2000,2,0,0,0,0,Alaska
2013,2,13,0,0,0,Aleutians East Borough
2016,2,16,0,0,0,Aleutians West Census Area
2020,2,20,0,0,0,Anchorage Municipality
2050,2,50,0,0,0,Bethel Census Area
2060,2,60,0,0,0,Bristol Bay Borough
2068,2,68,0,0,0,Denali Borough
2070,2,70,0,0,0,Dillingham Census Area
2090,2,90,0,0,0,Fairbanks North Star Borough
2100,2,100,0,0,0,Haines Borough
2105,2,105,0,0,0,Hoonah-Angoon Census Area
2110,2,110,0,0,0,Juneau City and Borough
2122,2,122,0,0,0,Kenai Peninsula Borough
2130,2,130,0,0,0,Ketchikan Gateway Borough
2150,2,150,0,0,0,Kodiak Island Borough
2158,2,158,0,0,0,Kusilvak Census Area
2164,2,164,0,0,0,Lake and Peninsula Borough
2170,2,170,0,0,0,Matanuska-Susitna Borough
2180,2,180,0,0,0,Nome Census Area
2185,2,185,0,0,0,North Slope Borough
2188,2,188,0,0,0,Northwest Arctic Borough
2195,2,195,0,0,0,Petersburg Borough
2198,2,198,0,0,0,Prince of Wales-Hyder Census Area
2220,2,220,0,0,0,Sitka City and Borough
2230,2,230,0,0,0,Skagway Municipality
2240,2,240,0,0,0,Southeast Fairbanks Census Area
2261,2,261,0,0,0,Valdez-Cordova Census Area
2275,2,275,0,0,0,Wrangell City and Borough
2282,2,282,0,0,0,Yakutat City and Borough
2290,2,290,0,0,0,Yukon-Koyukuk Census Area
4000,4,0,0,0,0,Arizona
4001,4,1,0,0,0,Apache County
4003,4,3,0,0,0,Cochise County
4005,4,5,0,0,0,Coconino County
4007,4,7,0,0,0,Gila County
4009,4,9,0,0,0,Graham County
4011,4,11,0,0,0,Greenlee County
4012,4,12,0,0,0,La Paz County
4013,4,13,0,0,0,Maricopa County
4015,4,15,0,0,0,Mohave County
4017,4,17,0,0,0,Navajo County
4019,4,19,0,0,0,Pima County
4021,4,21,0,0,0,Pinal County
4023,4,23,0,0,0,Santa Cruz County
4025,4,25,0,0,0,Yavapai County
4027,4,27,0,0,0,Yuma County
5000,5,0,0,0,0,Arkansas
5001,5,1,0,0,0,Arkansas County
5003,5,3,0,0,0,Ashley County
5005,5,5,0,0,0,Baxter County
5007,5,7,0,0,0,Benton County
5009,5,9,0,0,0,Boone County
5011,5,11,0,0,0,Bradley County
5013,5,13,0,0,0,Calhoun County
5015,5,15,0,0,0,Carroll County
5017,5,17,0,0,0,Chicot County
5019,5,19,0,0,0,Clark County
5021,5,21,0,0,0,Clay County
5023,5,23,0,0,0,Cleburne County
5025,5,25,0,0,0,Cleveland County
5027,5,27,0,0,0,Columbia County
5029,5,29,0,0,0,Conway County
5031,5,31,0,0,0,Craighead County
5033,5,33,0,0,0,Crawford County
5035,5,35,0,0,0,Crittenden County
5037,5,37,0,0,0,Cross County
5039,5,39,0,0,0,Dallas County
5041,5,41,0,0,0,Desha County
5043,5,43,0,0,0,Drew County
5045,5,45,0,0,0,Faulkner County
5047,5,47,0,0,0,Franklin County
5049,5,49,0,0,0,Fulton County
5051,5,51,0,0,0,Garland County
5053,5,53,0,0,0,Grant County
5055,5,55,0,0,0,Greene County
5057,5,57,0,0,0,Hempstead County
5059,5,59,0,0,0,Hot Spring County
5061,5,61,0,0,0,Howard County
5063,5,63,0,0,0,Independence County
5065,5,65,0,0,0,Izard County
5067,5,67,0,0,0,Jackson County
5069,5,69,0,0,0,Jefferson County
5071,5,71,0,0,0,Johnson County
5073,5,73,0,0,0,Lafayette County
5075,5,75,0,0,0,Lawrence County
5077,5,77,0,0,0,Lee County
5079,5,79,0,0,0,Lincoln County
5081,5,81,0,0,0,Little River County
5083,5,83,0,0,0,Logan County
5085,5,85,0,0,0,Lonoke County
5087,5,87,0,0,0,Madison County
5089,5,89,0,0,0,Marion County
5091,5,91,0,0,0,Miller County
5093,5,93,0,0,0,Mississippi County
5095,5,95,0,0,0,Monroe County
5097,5,97,0,0,0,Montgomery County
5099,5,99,0,0,0,Nevada County
5101,5,101,0,0,0,Newton County
5103,5,103,0,0,0,Ouachita County
5105,5,105,0,0,0,Perry County
5107,5,107,0,0,0,Phillips County
5109,5,109,0,0,0,Pike County
5111,5,111,0,0,0,Poinsett County
5113,5,113,0,0,0,Polk County
5115,5,115,0,0,0,Pope County
5117,5,117,0,0,0,Prairie County
5119,5,119,0,0,0,Pulaski County
5121,5,121,0,0,0,Randolph County
5123,5,123,0,0,0,St. Francis County
5125,5,125,0,0,0,Saline County
5127,5,127,0,0,0,Scott County
5129,5,129,0,0,0,Searcy County
5131,5,131,0,0,0,Sebastian County
5133,5,133,0,0,0,Sevier County
5135,5,135,0,0,0,Sharp County
5137,5,137,0,0,0,Stone County
5139,5,139,0,0,0,Union County
5141,5,141,0,0,0,Van Buren County
5143,5,143,0,0,0,Washington County
5145,5,145,0,0,0,White County
5147,5,147,0,0,0,Woodruff County
5149,5,149,0,0,0,Yell County
6000,6,0,0,0,0,California
6001,6,1,0,0,0,Alameda County
6003,6,3,0,0,0,Alpine County
6005,6,5,0,0,0,Amador County
6007,6,7,0,0,0,Butte County
6009,6,9,0,0,0,Calaveras County
6011,6,11,0,0,0,Colusa County
6013,6,13,0,0,0,Contra Costa County
6015,6,15,0,0,0,Del Norte County
6017,6,17,0,0,0,El Dorado County
6019,6,19,0,0,0,Fresno County
6021,6,21,0,0,0,Glenn County
6023,6,23,0,0,0,Humboldt County
6025,6,25,0,0,0,Imperial County
6027,6,27,0,0,0,Inyo County
6029,6,29,0,0,0,Kern County
6031,6,31,0,0,0,Kings County
6033,6,33,0,0,0,Lake County
6035,6,35,0,0,0,Lassen County
6037,6,37,0,0,0,Los Angeles County
6039,6,39,0,0,0,Madera County
6041,6,41,0,0,0,Marin County
6043,6,43,0,0,0,Mariposa County
6045,6,45,0,0,0,Mendocino County
6047,6,47,0,0,0,Merced County
6049,6,49,0,0,0,Modoc County
6051,6,51,0,0,0,Mono County
6053,6,53,0,0,0,Monterey County
6055,6,55,0,0,0,Napa County
6057,6,57,0,0,0,Nevada County
6059,6,59,0,0,0,Orange County
6061,6,61,0,0,0,Placer County
6063,6,63,0,0,0,Plumas County
6065,6,65,0,0,0,Riverside County
6067,6,67,0,0,0,Sacramento County
6069,6,69,0,0,0,San Benito County
6071,6,71,0,0,0,San Bernardino County
6073,6,73,0,0,0,San Diego County
6075,6,75,0,0,0,San Francisco County
6077,6,77,0,0,0,San Joaquin County
6079,6,79,0,0,0,San Luis Obispo County
6081,6,81,0,0,0,San Mateo County
6083,6,83,0,0,0,Santa Barbara County
6085,6,85,0,0,0,Santa Clara County
6087,6,87,0,0,0,Santa Cruz County
6089,6,89,0,0,0,Shasta County
6091,6,91,0,0,0,Sierra County
6093,6,93,0,0,0,Siskiyou County
6095,6,95,0,0,0,Solano County
6097,6,97,0,0,0,Sonoma County
6099,6,99,0,0,0,Stanislaus County
6101,6,101,0,0,0,Sutter County
6103,6,103,0,0,0,Tehama County
6105,6,105,0,0,0,Trinity County
6107,6,107,0,0,0,Tulare County
6109,6,109,0,0,0,Tuolumne County
6111,6,111,0,0,0,Ventura County
6113,6,113,0,0,0,Yolo County
6115,6,115,0,0,0,Yuba County
8000,8,0,0,0,0,Colorado
8001,8,1,0,0,0,Adams County
8003,8,3,0,0,0,Alamosa County
8005,8,5,0,0,0,Arapahoe County
8007,8,7,0,0,0,Archuleta County
8009,8,9,0,0,0,Baca County
8011,8,11,0,0,0,Bent County
8013,8,13,0,0,0,Boulder County
8014,8,14,0,0,0,Broomfield County
8015,8,15,0,0,0,Chaffee County
8017,8,17,0,0,0,Cheyenne County
8019,8,19,0,0,0,Clear Creek County
8021,8,21,0,0,0,Conejos County
8023,8,23,0,0,0,Costilla County
8025,8,25,0,0,0,Crowley County
8027,8,27,0,0,0,Custer County
8029,8,29,0,0,0,Delta County
8031,8,31,0,0,0,Denver County
8033,8,33,0,0,0,Dolores County
8035,8,35,0,0,0,Douglas County
8037,8,37,0,0,0,Eagle County
8039,8,39,0,0,0,Elbert County
8041,8,41,0,0,0,El Paso County
8043,8,43,0,0,0,Fremont County
8045,8,45,0,0,0,Garfield County
8047,8,47,0,0,0,Gilpin County
8049,8,49,0,0,0,Grand County
8051,8,51,0,0,0,Gunnison County
8053,8,53,0,0,0,Hinsdale County
8055,8,55,0,0,0,Huerfano County
8057,8,57,0,0,0,Jackson County
8059,8,59,0,0,0,Jefferson County
8061,8,61,0,0,0,Kiowa County
8063,8,63,0,0,0,Kit Carson County
8065,8,65,0,0,0,Lake County
8067,8,67,0,0,0,La Plata County
8069,8,69,0,0,0,Larimer County
8071,8,71,0,0,0,Las Animas County
8073,8,73,0,0,0,Lincoln County
8075,8,75,0,0,0,Logan County
8077,8,77,0,0,0,Mesa County
8079,8,79,0,0,0,Mineral County
8081,8,81,0,0,0,Moffat County
8083,8,83,0,0,0,Montezuma County
8085,8,85,0,0,0,Montrose County
8087,8,87,0,0,0,Morgan County
8089,8,89,0,0,0,Otero County
8091,8,91,0,0,0,Ouray County
8093,8,93,0,0,0,Park County
8095,8,95,0,0,0,Phillips County
8097,8,97,0,0,0,Pitkin County
8099,8,99,0,0,0,Prowers County
8101,8,101,0,0,0,Pueblo County
8103,8,103,0,0,0,Rio Blanco County
8105,8,105,0,0,0,Rio Grande County
8107,8,107,0,0,0,Routt County
8109,8,109,0,0,0,Saguache County
8111,8,111,0,0,0,San Juan County
8113,8,113,0,0,0,San Miguel County
8115,8,115,0,0,0,Sedgwick County
8117,8,117,0,0,0,Summit County
8119,8,119,0,0,0,Teller County
8121,8,121,0,0,0,Washington County
8123,8,123,0,0,0,Weld County
8125,8,125,0,0,0,Yuma County
9000,9,0,0,0,0,Connecticut
9001,9,1,0,0,0,Fairfield County
9003,9,3,0,0,0,Hartford County
9005,9,5,0,0,0,Litchfield County
9007,9,7,0,0,0,Middlesex County
9009,9,9,0,0,0,New Haven County
9011,9,11,0,0,0,New London County
9013,9,13,0,0,0,Tolland County
9015,9,15,0,0,0,Windham County
9001,9,1,4720,0,0,Bethel town
9001,9,1,8070,0,0,Bridgeport town
9001,9,1,8980,0,0,Brookfield town
9001,9,1,18500,0,0,Danbury town
9001,9,1,18850,0,0,Darien town
9001,9,1,23890,0,0,Easton town
9001,9,1,26620,0,0,Fairfield town
9001,9,1,33620,0,0,Greenwich town
9001,9,1,48620,0,0,Monroe town
9001,9,1,50580,0,0,New Canaan town
9001,9,1,50860,0,0,New Fairfield town
9001,9,1,52980,0,0,Newtown town
9001,9,1,56060,0,0,Norwalk town
9001,9,1,63480,0,0,Redding town
9001,9,1,63970,0,0,Ridgefield town
9001,9,1,68170,0,0,Shelton town
9001,9,1,68310,0,0,Sherman town
9001,9,1,73070,0,0,Stamford town
9001,9,1,74190,0,0,Stratford town
9001,9,1,77200,0,0,Trumbull town
9001,9,1,83430,0,0,Weston town
9001,9,1,83500,0,0,Westport town
9001,9,1,86370,0,0,Wilton town
9003,9,3,2060,0,0,Avon town
9003,9,3,4300,0,0,Berlin town
9003,9,3,5910,0,0,Bloomfield town
9003,9,3,8490,0,0,Bristol town
9003,9,3,10100,0,0,Burlington town
9003,9,3,12270,0,0,Canton town
9003,9,3,22070,0,0,East Granby town
9003,9,3,22630,0,0,East Hartford town
9003,9,3,24800,0,0,East Windsor town
9003,9,3,25990,0,0,Enfield town
9003,9,3,27600,0,0,Farmington town
9003,9,3,31240,0,0,Glastonbury town
9003,9,3,32640,0,0,Granby town
9003,9,3,37070,0,0,Hartford town
9003,9,3,37140,0,0,Hartland town
9003,9,3,44700,0,0,Manchester town
9003,9,3,45820,0,0,Marlborough town
9003,9,3,50440,0,0,New Britain town
9003,9,3,52140,0,0,Newington town
9003,9,3,60120,0,0,Plainville town
9003,9,3,65370,0,0,Rocky Hill town
9003,9,3,68940,0,0,Simsbury town
9003,9,3,70550,0,0,Southington town
9003,9,3,71390,0,0,South Windsor town
9003,9,3,74540,0,0,Suffield town
9003,9,3,82590,0,0,West Hartford town
9003,9,3,84900,0,0,Wethersfield town
9003,9,3,87000,0,0,Windsor town
9003,9,3,87070,0,0,Windsor Locks town
9005,9,5,2760,0,0,Barkhamsted town
9005,9,5,4930,0,0,Bethlehem town
9005,9,5,8210,0,0,Bridgewater town
9005,9,5,10940,0,0,Canaan town
9005,9,5,16050,0,0,Colebrook town
9005,9,5,17240,0,0,Cornwall town
9005,9,5,32290,0,0,Goshen town
9005,9,5,37280,0,0,Harwinton town
9005,9,5,40290,0,0,Kent town
9005,9,5,43370,0,0,Litchfield town
9005,9,5,49460,0,0,Morris town
9005,9,5,51350,0,0,New Hartford town
9005,9,5,52630,0,0,New Milford town
9005,9,5,53470,0,0,Norfolk town
9005,9,5,54030,0,0,North Canaan town
9005,9,5,60750,0,0,Plymouth town
9005,9,5,65930,0,0,Roxbury town
9005,9,5,66420,0,0,Salisbury town
9005,9,5,67960,0,0,Sharon town
9005,9,5,75730,0,0,Thomaston town
9005,9,5,76570,0,0,Torrington town
9005,9,5,79510,0,0,Warren town
9005,9,5,79720,0,0,Washington town
9005,9,5,80490,0,0,Watertown town
9005,9,5,86440,0,0,Winchester town
9005,9,5,87910,0,0,Woodbury town
9007,9,7,14300,0,0,Chester town
9007,9,7,15350,0,0,Clinton town
9007,9,7,18080,0,0,Cromwell town
9007,9,7,19130,0,0,Deep River town
9007,9,7,20810,0,0,Durham town
9007,9,7,22280,0,0,East Haddam town
9007,9,7,22490,0,0,East Hampton town
9007,9,7,26270,0,0,Essex town
9007,9,7,35230,0,0,Haddam town
9007,9,7,40710,0,0,Killingworth town
9007,9,7,47080,0,0,Middlefield town
9007,9,7,47360,0,0,Middletown town
