,STATE,COUNTY,COUNTY_SUB,PLACE,CONS_CITY,AREA_NAME,FIPS
0,0,0,0,0,0,United States,00000
1,1,0,0,0,0,Alabama,01000
2,1,1,0,0,0,Autauga County,01001
3,1,3,0,0,0,Baldwin County,01003
4,1,5,0,0,0,Barbour County,01005
5,1,7,0,0,0,Bibb County,01007
6,1,9,0,0,0,Blount County,01009
7,1,11,0,0,0,Bullock County,01011
8,1,13,0,0,0,Butler County,01013
9,1,15,0,0,0,Calhoun County,01015
10,1,17,0,0,0,Chambers County,01017
11,1,19,0,0,0,Cherokee County,01019
12,1,21,0,0,0,Chilton County,01021
13,1,23,0,0,0,Choctaw County,01023
14,1,25,0,0,0,Clarke County,01025
15,1,27,0,0,0,Clay County,01027
16,1,29,0,0,0,Cleburne County,01029
17,1,31,0,0,0,Coffee County,01031
18,1,33,0,0,0,Colbert County,01033
19,1,35,0,0,0,Conecuh County,01035
20,1,37,0,0,0,Coosa County,01037
21,1,39,0,0,0,Covington County,01039
22,1,41,0,0,0,Crenshaw County,01041
23,1,43,0,0,0,Cullman County,01043
24,1,45,0,0,0,Dale County,01045
25,1,47,0,0,0,Dallas County,01047
26,1,49,0,0,0,DeKalb County,01049
27,1,51,0,0,0,Elmore County,01051
28,1,53,0,0,0,Escambia County,01053
29,1,55,0,0,0,Etowah County,01055
30,1,57,0,0,0,Fayette County,01057
31,1,59,0,0,0,Franklin County,01059
32,1,61,0,0,0,Geneva County,01061
33,1,63,0,0,0,Greene County,01063
34,1,65,0,0,0,Hale County,01065
35,1,67,0,0,0,Henry County,01067
36,1,69,0,0,0,Houston County,01069
37,1,71,0,0,0,Jackson County,01071
38,1,73,0,0,0,Jefferson County,01073
39,1,75,0,0,0,Lamar County,01075
40,1,77,0,0,0,Lauderdale County,01077
41,1,79,0,0,0,Lawrence County,01079
42,1,81,0,0,0,Lee County,01081
43,1,83,0,0,0,Limestone County,01083
44,1,85,0,0,0,Lowndes County,01085
45,1,87,0,0,0,Macon County,01087
46,1,89,0,0,0,Madison County,01089
47,1,91,0,0,0,Marengo County,01091
48,1,93,0,0,0,Marion County,01093
49,1,95,0,0,0,Marshall County,01095
50,1,97,0,0,0,Mobile County,01097
51,1,99,0,0,0,Monroe County,01099
52,1,101,0,0,0,Montgomery County,01101
53,1,103,0,0,0,Morgan County,01103
54,1,105,0,0,0,Perry County,01105
55,1,107,0,0,0,Pickens County,01107
56,1,109,0,0,0,Pike County,01109
57,1,111,0,0,0,Randolph County,01111
58,1,113,0,0,0,Russell County,01113
59,1,115,0,0,0,St. Clair County,01115
60,1,117,0,0,0,Shelby County,01117
61,1,119,0,0,0,Sumter County,01119
62,1,121,0,0,0,Talladega County,01121
63,1,123,0,0,0,Tallapoosa County,01123
64,1,125,0,0,0,Tuscaloosa County,01125
65,1,127,0,0,0,Walker County,01127
66,1,129,0,0,0,Washington County,01129
67,1,131,0,0,0,Wilcox County,01131
68,1,133,0,0,0,Winston County,01133
69,1,0,0,124,0,Abbeville city,01000
70,1,0,0,460,0,Adamsville city,01000
71,1,0,0,484,0,Addison town,01000
72,1,0,0,676,0,Akron town,01000
73,1,0,0,820,0,Alabaster city,01000
74,1,0,0,988,0,Albertville city,01000
75,1,0,0,1132,0,Alexander City city,01000
76,1,0,0,1228,0,Aliceville city,01000
77,1,0,0,1396,0,Allgood town,01000
78,1,0,0,1660,0,Altoona town,01000
79,1,0,0,1708,0,Andalusia city,01000
80,1,0,0,1756,0,Anderson town,01000
81,1,0,0,1852,0,Anniston city,01000
82,1,0,0,2116,0,Arab city,01000
83,1,0,0,2260,0,Ardmore town,01000
84,1,0,0,2320,0,Argo town,01000
85,1,0,0,2428,0,Ariton town,01000
86,1,0,0,2500,0,Arley town,01000
87,1,0,0,2836,0,Ashford town,01000
88,1,0,0,2860,0,Ashland town,01000
89,1,0,0,2908,0,Ashville city,01000
90,1,0,0,2956,0,Athens city,01000
91,1,0,0,3004,0,Atmore city,01000
92,1,0,0,3028,0,Attalla city,01000
93,1,0,0,3076,0,Auburn city,01000
94,1,0,0,3220,0,Autaugaville town,01000
95,1,0,0,3364,0,Avon town,01000
96,1,0,0,3556,0,Babbie town,01000
97,1,0,0,3676,0,Baileyton town,01000
98,1,0,0,3724,0,Bakerhill town,01000
99,1,0,0,3940,0,Banks town,01000
100,1,0,0,4660,0,Bay Minette city,01000
101,1,0,0,4684,0,Bayou La Batre city,01000
102,1,0,0,4852,0,Bear Creek town,01000
103,1,0,0,4900,0,Beatrice town,01000
104,1,0,0,4948,0,Beaverton town,01000
105,1,0,0,5164,0,Belk town,01000
106,1,0,0,5692,0,Benton town,01000
107,1,0,0,5932,0,Berry town,01000
108,1,0,0,5980,0,Bessemer city,01000
109,1,0,0,6460,0,Billingsley town,01000
110,1,0,0,7000,0,Birmingham city,01000
111,1,0,0,7120,0,Black town,01000
112,1,0,0,7456,0,Blountsville town,01000
113,1,0,0,7672,0,Blue Springs town,01000
114,1,0,0,7912,0,Boaz city,01000
115,1,0,0,8104,0,Boligee town,01000
116,1,0,0,8248,0,Bon Air town,01000
117,1,0,0,9016,0,Brantley town,01000
118,1,0,0,9136,0,Brent city,01000
119,1,0,0,9208,0,Brewton city,01000
120,1,0,0,9328,0,Bridgeport city,01000
121,1,0,0,9400,0,Brighton city,01000
122,1,0,0,9424,0,Brilliant town,01000
123,1,0,0,9736,0,Brookside town,01000
124,1,0,0,9808,0,Brookwood town,01000
125,1,0,0,10240,0,Brundidge city,01000
126,1,0,0,11032,0,Butler town,01000
127,1,0,0,11416,0,Calera city,01000
128,1,0,0,11512,0,Camden city,01000
129,1,0,0,11680,0,Camp Hill town,01000
130,1,0,0,12016,0,Carbon Hill city,01000
131,1,0,0,12040,0,Cardiff town,01000
132,1,0,0,12160,0,Carolina town,01000
133,1,0,0,12304,0,Carrollton town,01000
134,1,0,0,12496,0,Castleberry town,01000
135,1,0,0,12760,0,Cedar Bluff town,01000
136,1,0,0,13264,0,Center Point city,01000
137,1,0,0,13648,0,Centre city,01000
138,1,0,0,13672,0,Centreville city,01000
139,1,0,0,14008,0,Chatom town,01000
140,1,0,0,14104,0,Chelsea city,01000
141,1,0,0,14152,0,Cherokee town,01000
142,1,0,0,14392,0,Chickasaw city,01000
143,1,0,0,14464,0,Childersburg city,01000
144,1,0,0,15064,0,Citronelle city,01000
145,1,0,0,15136,0,Clanton city,01000
146,1,0,0,15256,0,Clay city,01000
147,1,0,0,15304,0,Clayhatchee town,01000
148,1,0,0,15376,0,Clayton town,01000
149,1,0,0,15472,0,Cleveland town,01000
150,1,0,0,15640,0,Clio city,01000
151,1,0,0,16000,0,Coaling town,01000
152,1,0,0,16240,0,Coffee Springs town,01000
153,1,0,0,16264,0,Coffeeville town,01000
154,1,0,0,16312,0,Coker town,01000
155,1,0,0,16600,0,Collinsville town,01000
156,1,0,0,16684,0,Colony town,01000
157,1,0,0,16744,0,Columbia town,01000
158,1,0,0,16768,0,Columbiana city,01000
159,1,0,0,17176,0,Coosada town,01000
