AREA,STATE,COUNTY,COUNTY_SUB,PLACE,CONS_CITY,AREA_NAME
0,0,0,0,0,0,United States
1000,1,0,0,0,0,Alabama
1001,1,1,0,0,0,Autauga County
1003,1,3,0,0,0,Baldwin County
1005,1,5,0,0,0,Barbour County
1007,1,7,0,0,0,Bibb County
1009,1,9,0,0,0,Blount County
1011,1,11,0,0,0,Bullock County
1013,1,13,0,0,0,Butler County
1015,1,15,0,0,0,Calhoun County
1017,1,17,0,0,0,Chambers County
1019,1,19,0,0,0,Cherokee County
1021,1,21,0,0,0,Chilton County
1023,1,23,0,0,0,Choctaw County
1025,1,25,0,0,0,Clarke County
1027,1,27,0,0,0,Clay County
1029,1,29,0,0,0,Cleburne County
1031,1,31,0,0,0,Coffee County
1033,1,33,0,0,0,Colbert County
1035,1,35,0,0,0,Conecuh County
1037,1,37,0,0,0,Coosa County
1039,1,39,0,0,0,Covington County
1041,1,41,0,0,0,Crenshaw County
1043,1,43,0,0,0,Cullman County
1045,1,45,0,0,0,Dale County
1047,1,47,0,0,0,Dallas County
1049,1,49,0,0,0,DeKalb County
1051,1,51,0,0,0,Elmore County
1053,1,53,0,0,0,Escambia County
1055,1,55,0,0,0,Etowah County
1057,1,57,0,0,0,Fayette County
1059,1,59,0,0,0,Franklin County
1061,1,61,0,0,0,Geneva County
1063,1,63,0,0,0,Greene County
1065,1,65,0,0,0,Hale County
1067,1,67,0,0,0,Henry County
1069,1,69,0,0,0,Houston County
1071,1,71,0,0,0,Jackson County
1073,1,73,0,0,0,Jefferson County
1075,1,75,0,0,0,Lamar County
1077,1,77,0,0,0,Lauderdale County
1079,1,79,0,0,0,Lawrence County
1081,1,81,0,0,0,Lee County
1083,1,83,0,0,0,Limestone County
1085,1,85,0,0,0,Lowndes County
1087,1,87,0,0,0,Macon County
1089,1,89,0,0,0,Madison County
1091,1,91,0,0,0,Marengo County
1093,1,93,0,0,0,Marion County
1095,1,95,0,0,0,Marshall County
1097,1,97,0,0,0,Mobile County
1099,1,99,0,0,0,Monroe County
1101,1,101,0,0,0,Montgomery County
1103,1,103,0,0,0,Morgan County
1105,1,105,0,0,0,Perry County
1107,1,107,0,0,0,Pickens County
1109,1,109,0,0,0,Pike County
1111,1,111,0,0,0,Randolph County
1113,1,113,0,0,0,Russell County
1115,1,115,0,0,0,St. Clair County
1117,1,117,0,0,0,Shelby County
1119,1,119,0,0,0,Sumter County
1121,1,121,0,0,0,Talladega County
1123,1,123,0,0,0,Tallapoosa County
1125,1,125,0,0,0,Tuscaloosa County
1127,1,127,0,0,0,Walker County
1129,1,129,0,0,0,Washington County
1131,1,131,0,0,0,Wilcox County
1133,1,133,0,0,0,Winston County
1000,1,0,0,124,0,Abbeville city
1000,1,0,0,460,0,Adamsville city
1000,1,0,0,484,0,Addison town
1000,1,0,0,676,0,Akron town
1000,1,0,0,820,0,Alabaster city
1000,1,0,0,988,0,Albertville city
1000,1,0,0,1132,0,Alexander City city
1000,1,0,0,1228,0,Aliceville city
1000,1,0,0,1396,0,Allgood town
1000,1,0,0,1660,0,Altoona town
1000,1,0,0,1708,0,Andalusia city
1000,1,0,0,1756,0,Anderson town
1000,1,0,0,1852,0,Anniston city
1000,1,0,0,2116,0,Arab city
1000,1,0,0,2260,0,Ardmore town
1000,1,0,0,2320,0,Argo town
1000,1,0,0,2428,0,Ariton town
1000,1,0,0,2500,0,Arley town
1000,1,0,0,2836,0,Ashford town
1000,1,0,0,2860,0,Ashland town
1000,1,0,0,2908,0,Ashville city
1000,1,0,0,2956,0,Athens city
1000,1,0,0,3004,0,Atmore city
1000,1,0,0,3028,0,Attalla city
1000,1,0,0,3076,0,Auburn city
1000,1,0,0,3220,0,Autaugaville town
1000,1,0,0,3364,0,Avon town
1000,1,0,0,3556,0,Babbie town
1000,1,0,0,3676,0,Baileyton town
1000,1,0,0,3724,0,Bakerhill town
1000,1,0,0,3940,0,Banks town
1000,1,0,0,4660,0,Bay Minette city
1000,1,0,0,4684,0,Bayou La Batre city
1000,1,0,0,4852,0,Bear Creek town
1000,1,0,0,4900,0,Beatrice town
1000,1,0,0,4948,0,Beaverton town
1000,1,0,0,5164,0,Belk town
1000,1,0,0,5692,0,Benton town
1000,1,0,0,5932,0,Berry town
1000,1,0,0,5980,0,Bessemer city
1000,1,0,0,6460,0,Billingsley town
1000,1,0,0,7000,0,Birmingham city
1000,1,0,0,7120,0,Black town
1000,1,0,0,7456,0,Blountsville town
1000,1,0,0,7672,0,Blue Springs town
1000,1,0,0,7912,0,Boaz city
1000,1,0,0,8104,0,Boligee town
1000,1,0,0,8248,0,Bon Air town
1000,1,0,0,9016,0,Brantley town
1000,1,0,0,9136,0,Brent city
1000,1,0,0,9208,0,Brewton city
1000,1,0,0,9328,0,Bridgeport city
1000,1,0,0,9400,0,Brighton city
1000,1,0,0,9424,0,Brilliant town
1000,1,0,0,9736,0,Brookside town
1000,1,0,0,9808,0,Brookwood town
1000,1,0,0,10240,0,Brundidge city
1000,1,0,0,11032,0,Butler town
1000,1,0,0,11416,0,Calera city
1000,1,0,0,11512,0,Camden city
1000,1,0,0,11680,0,Camp Hill town
1000,1,0,0,12016,0,Carbon Hill city
1000,1,0,0,12040,0,Cardiff town
1000,1,0,0,12160,0,Carolina town
1000,1,0,0,12304,0,Carrollton town
1000,1,0,0,12496,0,Castleberry town
1000,1,0,0,12760,0,Cedar Bluff town
1000,1,0,0,13264,0,Center Point city
1000,1,0,0,13648,0,Centre city
1000,1,0,0,13672,0,Centreville city
1000,1,0,0,14008,0,Chatom town
1000,1,0,0,14104,0,Chelsea city
1000,1,0,0,14152,0,Cherokee town
1000,1,0,0,14392,0,Chickasaw city
1000,1,0,0,14464,0,Childersburg city
1000,1,0,0,15064,0,Citronelle city
1000,1,0,0,15136,0,Clanton city
1000,1,0,0,15256,0,Clay city
1000,1,0,0,15304,0,Clayhatchee town
1000,1,0,0,15376,0,Clayton town
1000,1,0,0,15472,0,Cleveland town
1000,1,0,0,15640,0,Clio city
1000,1,0,0,16000,0,Coaling town
1000,1,0,0,16240,0,Coffee Springs town
1000,1,0,0,16264,0,Coffeeville town
1000,1,0,0,16312,0,Coker town
1000,1,0,0,16600,0,Collinsville town
1000,1,0,0,16684,0,Colony town
1000,1,0,0,16744,0,Columbia town
1000,1,0,0,16768,0,Columbiana city
1000,1,0,0,17176,0,Coosada town
1000,1,0,0,17368,0,Cordova city
1000,1,0,0,17824,0,Cottonwood town
1000,1,0,0,17968,0,County Line town
1000,1,0,0,18040,0,Courtland town
1000,1,0,0,18088,0,Cowarts town
1000,1,0,0,18304,0,Creola city
1000,1,0,0,18856,0,Crossville town
1000,1,0,0,18952,0,Cuba town
1000,1,0,0,18976,0,Cullman city
1000,1,0,0,19216,0,Cusseta town
1000,1,0,0,19336,0,Dadeville city
1000,1,0,0,19360,0,Daleville city
1000,1,0,0,19648,0,Daphne city
1000,1,0,0,19744,0,Dauphin Island town
1000,1,0,0,19816,0,Daviston town
1000,1,0,0,19912,0,Dayton town
1000,1,0,0,20008,0,Deatsville town
1000,1,0,0,20104,0,Decatur city
1000,1,0,0,20296,0,Demopolis city
1000,1,0,0,20392,0,Detroit town
1000,1,0,0,20955,0,Dodge City town
1000,1,0,0,21136,0,Dora city
1000,1,0,0,21184,0,Dothan city
1000,1,0,0,21280,0,Double Springs town
1000,1,0,0,21328,0,Douglas town
1000,1,0,0,21448,0,Dozier town
1000,1,0,0,21952,0,Dutton town
1000,1,0,0,22216,0,East Brewton city
1000,1,0,0,22816,0,Eclectic town
1000,1,0,0,23176,0,Edwardsville town
1000,1,0,0,23296,0,Elba city
1000,1,0,0,23320,0,Elberta town
1000,1,0,0,23344,0,Eldridge town
1000,1,0,0,23488,0,Elkmont town
1000,1,0,0,23656,0,Elmore town
1000,1,0,0,23872,0,Emelle town
1000,1,0,0,24184,0,Enterprise city
1000,1,0,0,24256,0,Epes town
1000,1,0,0,24472,0,Ethelsville town
1000,1,0,0,24568,0,Eufaula city
1000,1,0,0,24664,0,Eutaw town
1000,1,0,0,24688,0,Eva town
1000,1,0,0,24808,0,Evergreen city
1000,1,0,0,24880,0,Excel town
1000,1,0,0,25120,0,Fairfield city
1000,1,0,0,25240,0,Fairhope city
1000,1,0,0,25384,0,Fairview town
1000,1,0,0,25648,0,Falkville town
1000,1,0,0,25816,0,Faunsdale town
1000,1,0,0,25840,0,Fayette city
1000,1,0,0,26200,0,Five Points town
1000,1,0,0,26824,0,Flomaton town
1000,1,0,0,26848,0,Florala town
1000,1,0,0,26896,0,Florence city
1000,1,0,0,26992,0,Foley city
1000,1,0,0,27376,0,Forkland town
1000,1,0,0,27520,0,Fort Deposit town
1000,1,0,0,27616,0,Fort Payne city
1000,1,0,0,28024,0,Franklin town
1000,1,0,0,28312,0,Frisco City town
1000,1,0,0,28432,0,Fruithurst town
1000,1,0,0,28504,0,Fulton town
1000,1,0,0,28552,0,Fultondale city
1000,1,0,0,28672,0,Fyffe town
1000,1,0,0,28696,0,Gadsden city
1000,1,0,0,28768,0,Gainesville town
1000,1,0,0,28936,0,Gantt town
1000,1,0,0,29032,0,Garden City town
1000,1,0,0,29056,0,Gardendale city
1000,1,0,0,29296,0,Gaylesville town
1000,1,0,0,29392,0,Geiger town
1000,1,0,0,29464,0,Geneva city
1000,1,0,0,29560,0,Georgiana town
1000,1,0,0,29608,0,Geraldine town
1000,1,0,0,29704,0,Gilbertown town
1000,1,0,0,29944,0,Glen Allen town
1000,1,0,0,29992,0,Glencoe city
1000,1,0,0,30160,0,Glenwood town
1000,1,0,0,30448,0,Goldville town
1000,1,0,0,30496,0,Good Hope town
1000,1,0,0,30640,0,Goodwater town
1000,1,0,0,30736,0,Gordo town
1000,1,0,0,30760,0,Gordon town
1000,1,0,0,30808,0,Gordonville town
1000,1,0,0,30880,0,Goshen town
1000,1,0,0,31096,0,Grant town
1000,1,0,0,31384,0,Graysville city
1000,1,0,0,31720,0,Greensboro city
1000,1,0,0,31912,0,Greenville city
1000,1,0,0,32056,0,Grimes town
1000,1,0,0,32080,0,Grove Hill town
1000,1,0,0,32224,0,Guin city
1000,1,0,0,32272,0,Gulf Shores city
1000,1,0,0,32416,0,Guntersville city
1000,1,0,0,32440,0,Gurley town
1000,1,0,0,32536,0,Gu-Win town
1000,1,0,0,32560,0,Hackleburg town
1000,1,0,0,32656,0,Haleburg town
1000,1,0,0,32704,0,Haleyville city
1000,1,0,0,32848,0,Hamilton city
1000,1,0,0,32896,0,Hammondville town
1000,1,0,0,32968,0,Hanceville city
1000,1,0,0,33256,0,Harpersville town
1000,1,0,0,33424,0,Hartford city
1000,1,0,0,33448,0,Hartselle city
1000,1,0,0,33640,0,Hayden town
1000,1,0,0,33712,0,Hayneville town
1000,1,0,0,33856,0,Headland city
1000,1,0,0,33904,0,Heath town
1000,1,0,0,33976,0,Heflin city
1000,1,0,0,34024,0,Helena city
1000,1,0,0,34096,0,Henagar city
1000,1,0,0,34480,0,Highland Lake town
1000,1,0,0,34816,0,Hillsboro town
1000,1,0,0,35152,0,Hobson City town
1000,1,0,0,35200,0,Hodges town
1000,1,0,0,35392,0,Hokes Bluff city
1000,1,0,0,35560,0,Holly Pond town
1000,1,0,0,35632,0,Hollywood town
1000,1,0,0,35800,0,Homewood city
1000,1,0,0,35896,0,Hoover city
1000,1,0,0,36088,0,Horn Hill town
1000,1,0,0,36448,0,Hueytown city
1000,1,0,0,37000,0,Huntsville city
1000,1,0,0,37096,0,Hurtsboro town
1000,1,0,0,37264,0,Hytop town
1000,1,0,0,37312,0,Ider town
1000,1,0,0,37465,0,Indian Springs Village city
1000,1,0,0,37864,0,Irondale city
1000,1,0,0,38152,0,Jackson city
1000,1,0,0,38248,0,Jacksons' Gap town
1000,1,0,0,38272,0,Jacksonville city
1000,1,0,0,38416,0,Jasper city
1000,1,0,0,38608,0,Jemison city
1000,1,0,0,39280,0,Kansas town
1000,1,0,0,39472,0,Kellyton town
1000,1,0,0,39520,0,Kennedy town
1000,1,0,0,39784,0,Killen town
1000,1,0,0,39856,0,Kimberly city
1000,1,0,0,40072,0,Kinsey town
1000,1,0,0,40096,0,Kinston town
1000,1,0,0,40672,0,La Fayette city
1000,1,0,0,40888,0,Lakeview town
1000,1,0,0,40928,0,Lake View town
1000,1,0,0,41296,0,Lanett city
1000,1,0,0,41368,0,Langston town
1000,1,0,0,41968,0,Leeds city
1000,1,0,0,42016,0,Leesburg town
1000,1,0,0,42160,0,Leighton town
1000,1,0,0,42352,0,Lester town
1000,1,0,0,42472,0,Level Plains town
1000,1,0,0,42640,0,Lexington town
1000,1,0,0,42808,0,Libertyville town
1000,1,0,0,43120,0,Lincoln city
1000,1,0,0,43240,0,Linden city
1000,1,0,0,43264,0,Lineville city
1000,1,0,0,43336,0,Lipscomb city
1000,1,0,0,43384,0,Lisman town
1000,1,0,0,43648,0,Littleville town
1000,1,0,0,43720,0,Livingston city
1000,1,0,0,43744,0,Loachapoka town
1000,1,0,0,43816,0,Lockhart town
1000,1,0,0,43888,0,Locust Fork town
1000,1,0,0,44344,0,Louisville town
1000,1,0,0,44536,0,Lowndesboro town
1000,1,0,0,44608,0,Loxley town
1000,1,0,0,44728,0,Luverne city
1000,1,0,0,44800,0,Lynn town
1000,1,0,0,45472,0,McIntosh town
1000,1,0,0,45496,0,McKenzie town
1000,1,0,0,45640,0,McMullen town
1000,1,0,0,45784,0,Madison city
1000,1,0,0,45904,0,Madrid town
1000,1,0,0,46072,0,Magnolia Springs town
1000,1,0,0,46264,0,Malvern town
1000,1,0,0,46504,0,Maplesville town
1000,1,0,0,46696,0,Margaret town
1000,1,0,0,46768,0,Marion city
1000,1,0,0,47728,0,Maytown town
1000,1,0,0,48052,0,Memphis town
1000,1,0,0,48064,0,Mentone town
1000,1,0,0,48376,0,Midfield city
1000,1,0,0,48400,0,Midland City town
1000,1,0,0,48424,0,Midway town
1000,1,0,0,48712,0,Millbrook city
1000,1,0,0,48808,0,Millport town
1000,1,0,0,48832,0,Millry town
1000,1,0,0,50000,0,Mobile city
1000,1,0,0,50192,0,Monroeville city
1000,1,0,0,50312,0,Montevallo city
1000,1,0,0,51000,0,Montgomery city
1000,1,0,0,51096,0,Moody city
1000,1,0,0,51264,0,Mooresville town
1000,1,0,0,51456,0,Morris town
1000,1,0,0,51520,0,Mosses town
1000,1,0,0,51600,0,Moulton city
1000,1,0,0,51648,0,Moundville town
1000,1,0,0,51696,0,Mountain Brook city
1000,1,0,0,52608,0,Mount Vernon town
1000,1,0,0,52776,0,Mulga town
1000,1,0,0,52848,0,Munford town
1000,1,0,0,53016,0,Muscle Shoals city
1000,1,0,0,53112,0,Myrtlewood town
1000,1,0,0,53256,0,Napier Field town
1000,1,0,0,53376,0,Natural Bridge town
1000,1,0,0,53400,0,Nauvoo town
1000,1,0,0,53448,0,Nectar town
1000,1,0,0,53472,0,Needham town
1000,1,0,0,53784,0,Newbern town
1000,1,0,0,53856,0,New Brockton town
1000,1,0,0,54168,0,New Hope city
1000,1,0,0,54432,0,New Site town
1000,1,0,0,54480,0,Newton town
1000,1,0,0,54600,0,Newville town
1000,1,0,0,55044,0,North Courtland town
1000,1,0,0,55152,0,North Johns town
1000,1,0,0,55200,0,Northport city
1000,1,0,0,55440,0,Notasulga town
1000,1,0,0,55752,0,Oak Grove town
1000,1,0,0,55848,0,Oak Hill town
1000,1,0,0,55992,0,Oakman town
1000,1,0,0,56400,0,Odenville town
1000,1,0,0,56472,0,Ohatchee town
1000,1,0,0,57000,0,Oneonta city
1000,1,0,0,57024,0,Onycha town
1000,1,0,0,57048,0,Opelika city
1000,1,0,0,57120,0,Opp city
1000,1,0,0,57144,0,Orange Beach city
1000,1,0,0,57240,0,Orrville town
1000,1,0,0,57504,0,Owens Cross Roads town
1000,1,0,0,57576,0,Oxford city
1000,1,0,0,57648,0,Ozark city
1000,1,0,0,57696,0,Paint Rock town
1000,1,0,0,58272,0,Parrish town
1000,1,0,0,58848,0,Pelham city
1000,1,0,0,58896,0,Pell City city
1000,1,0,0,58968,0,Pennington town
1000,1,0,0,59088,0,Perdido Beach town
1000,1,0,0,59328,0,Petrey town
1000,1,0,0,59472,0,Phenix City city
1000,1,0,0,59496,0,Phil Campbell town
1000,1,0,0,59592,0,Pickensville town
1000,1,0,0,59640,0,Piedmont city
