NAICS,FM,PATH
441320,activities with labor,activities with labor
927110,activities with labor,activities with labor
928110,activities with labor,activities with labor
928120,activities with labor,activities with labor
111110,activities with labor,activities with labor
111120,activities with labor,activities with labor
111130,activities with labor,activities with labor
111140,activities with labor,activities with labor
111150,activities with labor,activities with labor
111998,activities with labor,activities with labor
112519,activities with labor,activities with labor
315211,activities with labor,activities with labor
326299,activities with labor,activities with labor
212112,activities with labor,activities with labor
333994,activities with labor,activities with labor
333997,activities with labor,activities with labor
333999,activities with labor,activities with labor
334220,activities with labor,activities with labor
334515,activities with labor,activities with labor
212231,activities with labor,activities with labor
337127,activities with labor,activities with labor
339113,activities with labor,activities with labor
212113,activities with labor,activities with labor
517110,activities with labor,activities with labor
517211,activities with labor,activities with labor
518111,activities with labor,activities with labor
518112,activities with labor,activities with labor
525930,activities with labor,activities with labor
525990,activities with labor,activities with labor
441222,activities with labor,activities with labor
531120,activities with labor,activities with labor
531130,activities with labor,activities with labor
531190,activities with labor,activities with labor
541612,activities with labor,activities with labor
624229,activities with labor,activities with labor
624230,activities with labor,activities with labor
624310,activities with labor,activities with labor
624410,activities with labor,activities with labor
711120,activities with labor,activities with labor
111310,activities with labor,activities with labor
111199,activities with labor,activities with labor
111320,activities with labor,activities with labor
111331,activities with labor,activities with labor
111332,activities with labor,activities with labor
111334,activities with labor,activities with labor
111335,activities with labor,activities with labor
111336,activities with labor,activities with labor
111339,activities with labor,activities with labor
111411,activities with labor,activities with labor
111419,activities with labor,activities with labor
111421,activities with labor,activities with labor
111422,activities with labor,activities with labor
111910,activities with labor,activities with labor
111920,activities with labor,activities with labor
111930,activities with labor,activities with labor
111940,activities with labor,activities with labor
111991,activities with labor,activities with labor
111992,activities with labor,activities with labor
112111,activities with labor,activities with labor
112112,activities with labor,activities with labor
112120,activities with labor,activities with labor
112130,activities with labor,activities with labor
112210,activities with labor,activities with labor
112310,activities with labor,activities with labor
112330,activities with labor,activities with labor
112340,activities with labor,activities with labor
112390,activities with labor,activities with labor
112410,activities with labor,activities with labor
112420,activities with labor,activities with labor
112511,activities with labor,activities with labor
112512,activities with labor,activities with labor
112910,activities with labor,activities with labor
112920,activities with labor,activities with labor
112930,activities with labor,activities with labor
113110,activities with labor,activities with labor
113210,activities with labor,activities with labor
113310,activities with labor,activities with labor
114210,activities with labor,activities with labor
115111,activities with labor,activities with labor
115112,activities with labor,activities with labor
115113,activities with labor,activities with labor
115114,activities with labor,activities with labor
115115,activities with labor,activities with labor
115116,activities with labor,activities with labor
115210,activities with labor,activities with labor
115310,activities with labor,activities with labor
211111,activities with labor,activities with labor
211112,activities with labor,activities with labor
212111,activities with labor,activities with labor
114119,activities with labor,activities with labor
114111,activities with labor,activities with labor
212210,activities with labor,activities with labor
212221,activities with labor,activities with labor
212222,activities with labor,activities with labor
212234,activities with labor,activities with labor
212299,activities with labor,activities with labor
212311,activities with labor,activities with labor
212312,activities with labor,activities with labor
212313,activities with labor,activities with labor
212319,activities with labor,activities with labor
212322,activities with labor,activities with labor
212324,activities with labor,activities with labor
212325,activities with labor,activities with labor
212392,activities with labor,activities with labor
212393,activities with labor,activities with labor
212399,activities with labor,activities with labor
213111,activities with labor,activities with labor
213115,activities with labor,activities with labor
221111,activities with labor,activities with labor
221112,activities with labor,activities with labor
221113,activities with labor,activities with labor
221119,activities with labor,activities with labor
221121,activities with labor,activities with labor
221122,activities with labor,activities with labor
221210,activities with labor,activities with labor
221310,activities with labor,activities with labor
221320,activities with labor,activities with labor
221330,activities with labor,activities with labor
236115,activities with labor,activities with labor
236116,activities with labor,activities with labor
236117,activities with labor,activities with labor
236118,activities with labor,activities with labor
236210,activities with labor,activities with labor
236220,activities with labor,activities with labor
237110,activities with labor,activities with labor
237120,activities with labor,activities with labor
237130,activities with labor,activities with labor
237210,activities with labor,activities with labor
237310,activities with labor,activities with labor
237990,activities with labor,activities with labor
238110,activities with labor,activities with labor
238120,activities with labor,activities with labor
238130,activities with labor,activities with labor
238140,activities with labor,activities with labor
213113,activities with labor,activities with labor
238150,activities with labor,activities with labor
238160,activities with labor,activities with labor
238210,activities with labor,activities with labor
238220,activities with labor,activities with labor
238290,activities with labor,activities with labor
238320,activities with labor,activities with labor
238330,activities with labor,activities with labor
238340,activities with labor,activities with labor
238350,activities with labor,activities with labor
238390,activities with labor,activities with labor
238910,activities with labor,activities with labor
238990,activities with labor,activities with labor
311111,activities with labor,activities with labor
311119,activities with labor,activities with labor
311211,activities with labor,activities with labor
311212,activities with labor,activities with labor
311213,activities with labor,activities with labor
311221,activities with labor,activities with labor
311222,activities with labor,activities with labor
311223,activities with labor,activities with labor
311225,activities with labor,activities with labor
311230,activities with labor,activities with labor
311311,activities with labor,activities with labor
311312,activities with labor,activities with labor
311313,activities with labor,activities with labor
311320,activities with labor,activities with labor
311330,activities with labor,activities with labor
311340,activities with labor,activities with labor
311411,activities with labor,activities with labor
311421,activities with labor,activities with labor
311422,activities with labor,activities with labor
311511,activities with labor,activities with labor
311512,activities with labor,activities with labor
311513,activities with labor,activities with labor
311514,activities with labor,activities with labor
311611,activities with labor,activities with labor
311612,activities with labor,activities with labor
311613,activities with labor,activities with labor
311615,activities with labor,activities with labor
311712,activities with labor,activities with labor
311811,activities with labor,activities with labor
311812,activities with labor,activities with labor
311813,activities with labor,activities with labor
311821,activities with labor,activities with labor
311822,activities with labor,activities with labor
311823,activities with labor,activities with labor
311830,activities with labor,activities with labor
311911,activities with labor,activities with labor
311919,activities with labor,activities with labor
311920,activities with labor,activities with labor
311930,activities with labor,activities with labor
311941,activities with labor,activities with labor
311942,activities with labor,activities with labor
311991,activities with labor,activities with labor
311999,activities with labor,activities with labor
312111,activities with labor,activities with labor
312112,activities with labor,activities with labor
312113,activities with labor,activities with labor
312120,activities with labor,activities with labor
312130,activities with labor,activities with labor
312140,activities with labor,activities with labor
312210,activities with labor,activities with labor
312221,activities with labor,activities with labor
313111,activities with labor,activities with labor
313112,activities with labor,activities with labor
313113,activities with labor,activities with labor
313210,activities with labor,activities with labor
313221,activities with labor,activities with labor
313222,activities with labor,activities with labor
313230,activities with labor,activities with labor
313241,activities with labor,activities with labor
313249,activities with labor,activities with labor
313311,activities with labor,activities with labor
313312,activities with labor,activities with labor
313320,activities with labor,activities with labor
314110,activities with labor,activities with labor
314121,activities with labor,activities with labor
314129,activities with labor,activities with labor
314911,activities with labor,activities with labor
314912,activities with labor,activities with labor
314991,activities with labor,activities with labor
314992,activities with labor,activities with labor
315111,activities with labor,activities with labor
315119,activities with labor,activities with labor
315191,activities with labor,activities with labor
315192,activities with labor,activities with labor
315222,activities with labor,activities with labor
323119,activities with labor,activities with labor
315223,activities with labor,activities with labor
315224,activities with labor,activities with labor
315225,activities with labor,activities with labor
315228,activities with labor,activities with labor
315232,activities with labor,activities with labor
315233,activities with labor,activities with labor
315234,activities with labor,activities with labor
315239,activities with labor,activities with labor
315291,activities with labor,activities with labor
315299,activities with labor,activities with labor
315991,activities with labor,activities with labor
315992,activities with labor,activities with labor
315993,activities with labor,activities with labor
315999,activities with labor,activities with labor
316211,activities with labor,activities with labor
316213,activities with labor,activities with labor
316214,activities with labor,activities with labor
316219,activities with labor,activities with labor
316992,activities with labor,activities with labor
316999,activities with labor,activities with labor
321113,activities with labor,activities with labor
321114,activities with labor,activities with labor
321211,activities with labor,activities with labor
321212,activities with labor,activities with labor
321213,activities with labor,activities with labor
321214,activities with labor,activities with labor
